Scene Number, Scene Name, Target Number, Cube Size, CubeStartingPositionX, CubeStartingPositionY, CubeStartingPositionZ, RotationY, FinalCubePositionX, FinalCubePositionY, FinalCubePositionZ, Time Taken, PositionOfTargetX, PositionOfTargetY, PositionOfTargetZ, Error
16, 0010, 1, 0.1946772, -0.07655588, 0, 6.813844, 0, -0.07655588, 0, 2.413848, 16.33557, 0, -1.66, 2.75, -0.3361516
17, 0002, 5, 0.4225002, -0.2068859, 0, 2.837143, 6, -0.2068859, 0, 4.037142, 17.2865, 0, -1.66, 4.71, -0.6728582
18, 1111, 5, 0.4336568, -0.1338892, 0, 4.105249, 0, -0.1338892, 0, 4.805249, 7.242554, 0, -1.66, 4.71, 0.0952487
19, 1110, 4, 0.4378372, 0.100298, 0, 3.63888, 0, 0.100298, 0, 4.23888, 7.07843, 0, -1.66, 4.22, 0.01887989
20, 1000, 8, 0.3796739, 0.006087244, 0, 5.849109, 67, 0.006087244, 0, 6.449108, 7.542664, 0, -1.66, 6.18, 0.2691083
21, 0000, 3, 0.2557688, 0.3800018, 0, 1.910277, 88, 0.3800018, 0, 2.910276, 17.9361, 0, -1.66, 3.73, -0.8197236
22, 0002, 3, 0.2134454, -0.390627, 0, 7.175303, 19, -0.390627, 0, 3.075307, 20.34888, 0, -1.66, 3.73, -0.6546931
23, 0000, 7, 0.3095172, -0.0224587, 0, 4.97209, 54, -0.0224587, 0, 5.672089, 17.3349, 0, -1.66, 5.69, -0.01791096
24, 0010, 5, 0.4396857, -0.1479445, 0, 3.750515, 0, -0.1479445, 0, 4.550514, 10.02496, 0, -1.66, 4.71, -0.1594858
25, 1010, 6, 0.408658, 0.105657, 0, 4.438915, 0, 0.105657, 0, 5.338914, 6.961304, 0, -1.66, 5.2, 0.1389141
26, 1012, 8, 0.2658361, 0.04178518, 0, 6.030349, 0, 0.04178518, 0, 6.430349, 5.484924, 0, -1.66, 6.18, 0.250349
27, 1100, 3, 0.1994628, -0.2228746, 0, 6.361949, 13, -0.2228746, 0, 3.861952, 11.82288, 0, -1.66, 3.73, 0.1319518
28, 1101, 2, 0.3408297, -0.3988014, 0, 2.498771, 21, -0.3988014, 0, 3.29877, 15.02051, 0, -1.66, 3.24, 0.05877018
29, 1110, 6, 0.3508768, 0.03891006, 0, 4.819442, 0, 0.03891006, 0, 5.319441, 7.860779, 0, -1.66, 5.2, 0.1194415
30, 0110, 1, 0.2618443, -0.3500902, 0, 3.60534, 0, -0.3500902, 0, 2.505341, 20.31567, 0, -1.66, 2.75, -0.2446589
31, 1002, 5, 0.4549436, 0.24774, 0, 6.986439, 5, 0.24774, 0, 4.786441, 11.42389, 0, -1.66, 4.71, 0.07644129
32, 1111, 2, 0.3850457, 0.1146358, 0, 6.493354, 0, 0.1146358, 0, 3.393357, 12.34015, 0, -1.66, 3.24, 0.1533568
33, 1100, 5, 0.2410836, -0.3451585, 0, 4.849984, 3, -0.3451585, 0, 4.849984, 4.39563, 0, -1.66, 4.71, 0.1399837
34, 1010, 3, 0.1836327, 0.09989792, 0, 4.412528, 0, 0.09989792, 0, 3.812528, 4.929565, 0, -1.66, 3.73, 0.08252811
35, 1011, 4, 0.2614037, 0.04614455, 0, 3.178731, 0, 0.04614455, 0, 4.37873, 8.975586, 0, -1.66, 4.22, 0.15873
36, 1011, 6, 0.3950152, -0.2467302, 0, 4.881093, 0, -0.2467302, 0, 5.281093, 5.345093, 0, -1.66, 5.2, 0.08109283
37, 1100, 8, 0.4090916, 0.138313, 0, 6.805582, 59, 0.138313, 0, 6.405582, 10.45837, 0, -1.66, 6.18, 0.2255821
38, 1102, 1, 0.4768281, 0.1066382, 0, 5.504212, 53, 0.1066382, 0, 2.804215, 9.39209, 0, -1.66, 2.75, 0.05421495
39, 1101, 6, 0.4858326, 0.08353859, 0, 3.614692, 77, 0.08353859, 0, 5.314691, 11.05798, 0, -1.66, 5.2, 0.1146908
40, 0112, 7, 0.1524831, -0.2213669, 0, 1.787557, 0, -0.2213669, 0, 3.487556, 15.63617, 0, -1.66, 5.69, -2.202445
41, 1001, 6, 0.3907282, -0.1091989, 0, 2.913631, 15, -0.1091989, 0, 5.413629, 9.757996, 0, -1.66, 5.2, 0.2136292
42, 0002, 8, 0.2204295, 0.3188817, 0, 2.613617, 40, 0.3188817, 0, 5.213614, 17.20416, 0, -1.66, 6.18, -0.9663854
43, 0102, 1, 0.2417258, 0.2223464, 0, 1.436048, 60, 0.2223464, 0, 2.036048, 13.65442, 0, -1.66, 2.75, -0.7139523
44, 0010, 2, 0.3999206, -0.2830224, 0, 3.452656, 0, -0.2830224, 0, 2.852657, 19.48279, 0, -1.66, 3.24, -0.3873434
45, 0112, 5, 0.242705, 0.3431739, 0, 3.632182, 0, 0.3431739, 0, 3.832181, 13.63867, 0, -1.66, 4.71, -0.8778186
46, 0001, 1, 0.4756505, 0.2872269, 0, 4.008155, 87, 0.2872269, 0, 2.608156, 25.17828, 0, -1.66, 2.75, -0.1418438
47, 0000, 2, 0.4025306, -0.3676477, 0, 4.692076, 36, -0.3676477, 0, 2.792078, 22.89899, 0, -1.66, 3.24, -0.4479225
48, 1102, 5, 0.2836597, -0.1673672, 0, 2.237933, 84, -0.1673672, 0, 4.93793, 22.24768, 0, -1.66, 4.71, 0.2279301
49, 0111, 2, 0.2938655, -0.3924766, 0, 4.706532, 0, -0.3924766, 0, 2.906534, 21.29779, 0, -1.66, 3.24, -0.3334663
50, 1101, 1, 0.2394568, 0.3932073, 0, 4.414058, 14, 0.3932073, 0, 2.81406, 10.72498, 0, -1.66, 2.75, 0.06405973
51, 0100, 1, 0.4375502, -0.2062312, 0, 4.622444, 82, -0.2062312, 0, 2.622446, 16.25244, 0, -1.66, 2.75, -0.1275544
52, 1102, 8, 0.1983808, -0.1421336, 0, 4.618361, 30, -0.1421336, 0, 6.318359, 16.15356, 0, -1.66, 6.18, 0.1383595
53, 1000, 2, 0.1550388, 0.3415509, 0, 3.737297, 79, 0.3415509, 0, 3.337298, 15.68677, 0, -1.66, 3.24, 0.09729767
54, 0111, 2, 0.4894899, 0.1462333, 0, 3.843473, 0, 0.1462333, 0, 3.143474, 13.68884, 0, -1.66, 3.24, -0.09652615
55, 1111, 8, 0.3075295, -0.1462654, 0, 6.661106, 0, -0.1462654, 0, 6.361106, 6.593262, 0, -1.66, 6.18, 0.1811066
56, 0111, 8, 0.2388363, 0.3626814, 0, 6.005241, 0, 0.3626814, 0, 5.605242, 9.2771, 0, -1.66, 6.18, -0.5747581
57, 1012, 2, 0.1525778, 0.1118528, 0, 6.629076, 0, 0.1118528, 0, 3.329079, 13.90393, 0, -1.66, 3.24, 0.08907914
58, 1001, 6, 0.1931437, 0.3785634, 0, 5.994161, 68, 0.3785634, 0, 5.394161, 8.09314, 0, -1.66, 5.2, 0.1941614
59, 1002, 4, 0.4735474, 0.2173665, 0, 4.223135, 16, 0.2173665, 0, 4.223135, 4.495972, 0, -1.66, 4.22, 0.003135204
60, 0011, 8, 0.3161672, -0.005074263, 0, 6.917814, 0, -0.005074263, 0, 6.717814, 9.942505, 0, -1.66, 6.18, 0.5378141
61, 0100, 6, 0.4820449, 0.06068903, 0, 7.500259, 38, 0.06068903, 0, 6.300261, 14.65466, 0, -1.66, 5.2, 1.100261
62, 1111, 4, 0.2302524, 0.3041938, 0, 2.19097, 0, 0.3041938, 0, 4.290968, 11.83899, 0, -1.66, 4.22, 0.07096815
63, 0011, 2, 0.3991631, -0.1758138, 0, 3.205764, 0, -0.1758138, 0, 3.205764, 5.978271, 0, -1.66, 3.24, -0.03423595
64, 0101, 7, 0.1578039, -0.2617918, 0, 4.875326, 23, -0.2617918, 0, 5.375326, 9.276123, 0, -1.66, 5.69, -0.3146744
65, 0100, 6, 0.1523682, 0.2860668, 0, 7.145833, 76, 0.2860668, 0, 4.445836, 28.39355, 0, -1.66, 5.2, -0.7541637
66, 1110, 4, 0.4119615, -0.06392056, 0, 7.303441, 0, -0.06392056, 0, 4.303444, 18.25049, 0, -1.66, 4.22, 0.08344412
67, 0111, 8, 0.1524643, 0.03669316, 0, 7.266757, 0, 0.03669316, 0, 6.466758, 11.95813, 0, -1.66, 6.18, 0.2867584
68, 0010, 6, 0.3381493, -0.3719494, 0, 4.348894, 0, -0.3719494, 0, 4.948894, 14.25378, 0, -1.66, 5.2, -0.2511063
69, 0100, 1, 0.3323062, 0.1216382, 0, 5.826254, 26, 0.1216382, 0, 2.526257, 21.21521, 0, -1.66, 2.75, -0.223743
70, 1112, 4, 0.1836295, -0.3309549, 0, 5.979632, 0, -0.3309549, 0, 4.279634, 10.9574, 0, -1.66, 4.22, 0.05963373
71, 0110, 6, 0.2412805, -0.2687692, 0, 4.946783, 0, -0.2687692, 0, 5.246783, 15.52051, 0, -1.66, 5.2, 0.04678297
72, 1001, 2, 0.3120289, -0.3442245, 0, 6.638266, 13, -0.3442245, 0, 3.338269, 14.96973, 0, -1.66, 3.24, 0.09826875
73, 0102, 8, 0.4594859, -0.2064529, 0, 5.162179, 82, -0.2064529, 0, 6.662178, 15.83777, 0, -1.66, 6.18, 0.4821782
74, 0011, 7, 0.1967195, 0.1754884, 0, 7.480584, 0, 0.1754884, 0, 6.480585, 18.95081, 0, -1.66, 5.69, 0.7905846
75, 0012, 8, 0.481342, -0.3491172, 0, 2.497811, 0, -0.3491172, 0, 7.097807, 28.77612, 0, -1.66, 6.18, 0.9178071
76, 0001, 2, 0.2896254, -0.3407721, 0, 2.296983, 12, -0.3407721, 0, 2.696983, 11.32385, 0, -1.66, 3.24, -0.5430174
77, 1102, 2, 0.3330493, -0.182083, 0, 3.254634, 31, -0.182083, 0, 3.254634, 4.311768, 0, -1.66, 3.24, 0.01463437
78, 1101, 5, 0.2960459, 0.2378764, 0, 4.949776, 13, 0.2378764, 0, 4.949776, 3.330811, 0, -1.66, 4.71, 0.2397757
79, 0001, 7, 0.4830635, 0.05717158, 0, 2.389341, 79, 0.05717158, 0, 5.689338, 12.67297, 0, -1.66, 5.69, -0.0006623268
80, 0101, 3, 0.3893661, 0.1440027, 0, 4.339375, 86, 0.1440027, 0, 3.239376, 16.68555, 0, -1.66, 3.73, -0.490624
81, 1112, 7, 0.1696431, -0.3036773, 0, 5.298136, 0, -0.3036773, 0, 5.898135, 10.12512, 0, -1.66, 5.69, 0.2081351
82, 1012, 3, 0.2248386, 0.02966636, 0, 3.677515, 0, 0.02966636, 0, 3.777515, 5.478027, 0, -1.66, 3.73, 0.04751492
83, 1011, 2, 0.4981698, 0.2964269, 0, 2.86357, 0, 0.2964269, 0, 3.263569, 4.980103, 0, -1.66, 3.24, 0.02356935
84, 1010, 8, 0.3233175, 0.2051424, 0, 5.899842, 0, 0.2051424, 0, 6.299841, 5.744263, 0, -1.66, 6.18, 0.1198416
85, 0110, 4, 0.3660573, 0.01255736, 0, 3.715793, 0, 0.01255736, 0, 4.115793, 8.993164, 0, -1.66, 4.22, -0.104207
86, 1112, 7, 0.4423292, 0.3553387, 0, 3.56703, 0, 0.3553387, 0, 5.867028, 9.025024, 0, -1.66, 5.69, 0.1770282
87, 0112, 2, 0.3956123, -0.2564342, 0, 4.498141, 0, -0.2564342, 0, 2.898143, 16.07056, 0, -1.66, 3.24, -0.3418572
88, 0101, 7, 0.4264436, 0.1455975, 0, 6.324971, 16, 0.1455975, 0, 6.124971, 10.14075, 0, -1.66, 5.69, 0.4349709
89, 0102, 3, 0.4647906, -0.2397641, 0, 3.609664, 44, -0.2397641, 0, 3.609664, 8.044189, 0, -1.66, 3.73, -0.1203361
90, 1110, 5, 0.3068224, -0.04372716, 0, 2.976409, 0, -0.04372716, 0, 4.876408, 16.46936, 0, -1.66, 4.71, 0.1664076
91, 0000, 8, 0.2685942, -0.1633078, 0, 3.02043, 48, -0.1633078, 0, 4.220429, 13.45496, 0, -1.66, 6.18, -1.959571
92, 0110, 6, 0.2425019, 0.07281908, 0, 5.819745, 0, 0.07281908, 0, 5.419745, 12.15625, 0, -1.66, 5.2, 0.2197452
93, 0002, 3, 0.2192659, 0.06835827, 0, 6.045197, 52, 0.06835827, 0, 3.345199, 16.03625, 0, -1.66, 3.73, -0.3848009
94, 1000, 6, 0.2706724, 0.3335859, 0, 7.445086, 55, 0.3335859, 0, 5.345088, 12.75708, 0, -1.66, 5.2, 0.1450877
95, 1012, 5, 0.4325748, -0.2064166, 0, 4.137485, 0, -0.2064166, 0, 4.837484, 7.875488, 0, -1.66, 4.71, 0.1274838
