Scene Number, Scene Name, Target Number, Cube Size, CubeStartingPositionX, CubeStartingPositionY, CubeStartingPositionZ, RotationY, FinalCubePositionX, FinalCubePositionY, FinalCubePositionZ, Time Taken, PositionOfTargetX, PositionOfTargetY, PositionOfTargetZ, Error
0, 1112, 2, 0.3258844, -0.2475202, 0, 4.035418, 0, -0.2475202, 0, 2.835419, 51.45695, 0, -1.66, 3.24, -0.4045808
1, 0112, 4, 0.2341715, -0.2571472, 0, 6.775169, 0, -0.2571472, 0, 3.975172, 25.24638, 0, -1.66, 4.22, -0.2448277
2, 1002, 7, 0.1985475, -0.257807, 0, 5.833019, 10, -0.257807, 0, 4.93302, 28.29266, 0, -1.66, 5.69, -0.7569804
3, 0001, 5, 0.2479948, -0.2191555, 0, 2.344025, 41, -0.2191555, 0, 3.644023, 32.57224, 0, -1.66, 4.71, -1.065977
4, 0101, 2, 0.3671444, 0.1492928, 0, 6.685824, 82, 0.1492928, 0, 2.785828, 47.27753, 0, -1.66, 3.24, -0.4541719
5, 0011, 4, 0.1677381, 0.1952534, 0, 4.214787, 0, 0.1952534, 0, 2.914789, 19.30176, 0, -1.66, 4.22, -1.305211
6, 0102, 6, 0.4291984, 0.3180924, 0, 2.097579, 25, 0.3180924, 0, 4.497577, 25.27713, 0, -1.66, 5.2, -0.7024226
7, 0012, 1, 0.4429107, 0.3641497, 0, 2.02927, 0, 0.3641497, 0, 2.12927, 8.793365, 0, -1.66, 2.75, -0.6207302
8, 1010, 1, 0.4985352, 0.00511393, 0, 3.964838, 0, 0.00511393, 0, 2.864839, 19.46637, 0, -1.66, 2.75, 0.1148393
9, 1011, 7, 0.3884738, -0.1282303, 0, 4.750832, 0, -0.1282303, 0, 5.850831, 13.57242, 0, -1.66, 5.69, 0.1608305
10, 1000, 3, 0.4010864, 0.2071077, 0, 5.76097, 89, 0.2071077, 0, 3.760972, 16.5528, 0, -1.66, 3.73, 0.03097153
11, 0012, 8, 0.3985673, -0.2111146, 0, 5.704731, 0, -0.2111146, 0, 5.904731, 24.09576, 0, -1.66, 6.18, -0.2752686
12, 1001, 2, 0.159151, -0.2875586, 0, 1.447847, 69, -0.2875586, 0, 2.347847, 19.41733, 0, -1.66, 3.24, -0.8921535
13, 0012, 3, 0.2076999, 0.1605172, 0, 5.132751, 0, 0.1605172, 0, 2.432753, 23.47989, 0, -1.66, 3.73, -1.297247
14, 1100, 2, 0.4893007, 0.01912227, 0, 5.36091, 13, 0.01912227, 0, 3.360912, 10.54144, 0, -1.66, 3.24, 0.1209118
15, 1002, 4, 0.368708, 0.1608406, 0, 5.364119, 35, 0.1608406, 0, 4.26412, 7.077576, 0, -1.66, 4.22, 0.04411983
