Scene Number, Scene Name, Target Number, Cube Size, CubeStartingPositionX, CubeStartingPositionY, CubeStartingPositionZ, RotationY, FinalCubePositionX, FinalCubePositionY, FinalCubePositionZ, Time Taken, PositionOfTargetX, PositionOfTargetY, PositionOfTargetZ, Error
40, 1102, 3, 0.3507977, -0.04156977, 0, 3.992368, 12, -0.04156977, 0, 3.792368, 17.95142, 0, -1.66, 3.73, 0.06236768
41, 1110, 3, 0.4992925, 0.2518491, 0, 2.122005, 0, 0.2518491, 0, 3.722003, 48.4093, 0, -1.66, 3.73, -0.007997036
42, 1102, 1, 0.217894, -0.3093033, 0, 3.679294, 5, -0.3093033, 0, 2.779294, 35.33765, 0, -1.66, 2.75, 0.02929449
43, 1011, 5, 0.4810576, 0.0901877, 0, 5.651835, 0, 0.0901877, 0, 4.751836, 14.58728, 0, -1.66, 4.71, 0.04183578
44, 1001, 1, 0.2375261, -0.1614542, 0, 7.262447, 76, -0.1614542, 0, 2.762451, 27.0105, 0, -1.66, 2.75, 0.01245117
45, 0110, 4, 0.2228907, -0.1731918, 0, 3.525743, 0, -0.1731918, 0, 3.925743, 23.97986, 0, -1.66, 4.22, -0.2942567
46, 1112, 7, 0.4006367, 0.26283, 0, 6.393184, 0, 0.26283, 0, 5.693184, 12.07336, 0, -1.66, 5.69, 0.003184319
47, 1001, 8, 0.2314581, 0.3822627, 0, 3.468867, 16, 0.3822627, 0, 6.268864, 22.38123, 0, -1.66, 6.18, 0.08886433
48, 0112, 3, 0.4016006, -0.08002716, 0, 6.238627, 0, -0.08002716, 0, 3.63863, 15.58691, 0, -1.66, 3.73, -0.09137011
49, 0101, 5, 0.4943925, -0.02539554, 0, 7.299595, 80, -0.02539554, 0, 4.399598, 12.38953, 0, -1.66, 4.71, -0.3104019
50, 0010, 7, 0.1694981, -0.2468409, 0, 3.660711, 0, -0.2468409, 0, 5.260709, 11.42383, 0, -1.66, 5.69, -0.4292908
51, 0100, 6, 0.2492445, -0.3026588, 0, 5.745757, 20, -0.3026588, 0, 4.945758, 9.800415, 0, -1.66, 5.2, -0.2542419
52, 1102, 7, 0.4558819, -0.3529251, 0, 6.451236, 13, -0.3529251, 0, 5.751236, 13.297, 0, -1.66, 5.69, 0.06123638
53, 0000, 4, 0.2708638, 0.2346817, 0, 3.782915, 12, 0.2346817, 0, 3.782915, 8.142944, 0, -1.66, 4.22, -0.4370844
54, 1002, 6, 0.2537856, 0.1640883, 0, 6.905235, 24, 0.1640883, 0, 5.205237, 10.94092, 0, -1.66, 5.2, 0.005237103
55, 0100, 8, 0.330697, -0.3234034, 0, 3.3333, 11, -0.3234034, 0, 5.633298, 19.00098, 0, -1.66, 6.18, -0.5467019
56, 0101, 4, 0.4782944, -0.1453527, 0, 5.26887, 20, -0.1453527, 0, 3.968871, 9.508545, 0, -1.66, 4.22, -0.2511287
57, 0012, 1, 0.2957816, 0.2663836, 0, 5.015645, 0, 0.2663836, 0, 2.615647, 21.74829, 0, -1.66, 2.75, -0.1343527
58, 0110, 3, 0.4990652, -0.1842685, 0, 5.707846, 0, -0.1842685, 0, 3.507848, 13.60547, 0, -1.66, 3.73, -0.2221522
59, 0100, 3, 0.4722952, 0.001114786, 0, 2.115829, 39, 0.001114786, 0, 3.115828, 20.89917, 0, -1.66, 3.73, -0.6141717
60, 1100, 6, 0.4965415, -0.13883, 0, 3.250563, 32, -0.13883, 0, 5.150561, 23.24695, 0, -1.66, 5.2, -0.04943895
61, 1101, 5, 0.2364234, -0.1989751, 0, 7.274397, 41, -0.1989751, 0, 4.774399, 22.66455, 0, -1.66, 4.71, 0.06439924
62, 0111, 3, 0.1682397, -0.3354453, 0, 2.616501, 0, -0.3354453, 0, 3.3165, 14.13843, 0, -1.66, 3.73, -0.4134996
63, 1111, 8, 0.3276474, 0.06651568, 0, 5.520936, 0, 0.06651568, 0, 6.220935, 12.58936, 0, -1.66, 6.18, 0.04093552
64, 0102, 7, 0.3354619, -0.03992429, 0, 3.304177, 66, -0.03992429, 0, 5.604175, 25.57886, 0, -1.66, 5.69, -0.08582544
65, 1112, 2, 0.4356175, 0.2667838, 0, 6.966022, 0, 0.2667838, 0, 3.266026, 40.28284, 0, -1.66, 3.24, 0.02602601
66, 0010, 5, 0.1860827, -0.2806371, 0, 4.419833, 0, -0.2806371, 0, 4.519833, 19.66638, 0, -1.66, 4.71, -0.190167
67, 0000, 1, 0.4321535, 0.04744124, 0, 2.039002, 21, 0.04744124, 0, 2.439002, 9.825439, 0, -1.66, 2.75, -0.310998
