Scene Number, Scene Name, Target Number, Cube Size, CubeStartingPositionX, CubeStartingPositionY, CubeStartingPositionZ, RotationY, FinalCubePositionX, FinalCubePositionY, FinalCubePositionZ, Time Taken, PositionOfTargetX, PositionOfTargetY, PositionOfTargetZ, Error
0, 0101, 8, 0.3436584, -0.1281996, 0, 1.440561, 66, -0.1281996, 0, 5.540557, 77.51747, 0, -1.66, 6.18, -0.6394424
1, 1110, 6, 0.2921211, 0.2490053, 0, 3.992794, 0, 0.2490053, 0, 5.492793, 17.33568, 0, -1.66, 5.2, 0.2927928
2, 1100, 3, 0.1687426, -0.219342, 0, 4.989135, 55, -0.219342, 0, 3.889136, 11.65753, 0, -1.66, 3.73, 0.1591363
3, 0101, 7, 0.3024573, 0.3370474, 0, 6.076364, 22, 0.3370474, 0, 6.276363, 13.77191, 0, -1.66, 5.69, 0.5863633
4, 0111, 7, 0.3762644, 0.3899728, 0, 2.499193, 0, 0.3899728, 0, 4.799191, 19.81622, 0, -1.66, 5.69, -0.8908091
5, 1010, 1, 0.3551086, -0.2778297, 0, 2.544042, 0, -0.2778297, 0, 2.944042, 7.944733, 0, -1.66, 2.75, 0.1940417
6, 1002, 1, 0.2548973, 0.04891878, 0, 3.223448, 45, 0.04891878, 0, 2.923449, 15.33575, 0, -1.66, 2.75, 0.1734486
7, 1012, 4, 0.4171952, 0.1438426, 0, 1.91334, 0, 0.1438426, 0, 4.413337, 14.23819, 0, -1.66, 4.22, 0.1933374
8, 0001, 5, 0.3817691, 0.3357187, 0, 5.729718, 56, 0.3357187, 0, 4.12972, 26.44601, 0, -1.66, 4.71, -0.5802803
9, 0110, 6, 0.4181744, -0.06755081, 0, 4.862717, 0, -0.06755081, 0, 5.062717, 18.95126, 0, -1.66, 5.2, -0.1372828
10, 0012, 3, 0.3233084, 0.02122483, 0, 3.272057, 0, 0.02122483, 0, 3.672056, 22.12943, 0, -1.66, 3.73, -0.05794382
11, 0002, 1, 0.3417062, 0.1986773, 0, 2.636884, 3, 0.1986773, 0, 2.536884, 24.06525, 0, -1.66, 2.75, -0.2131162
12, 1011, 6, 0.3673137, 0.3880792, 0, 3.529545, 0, 0.3880792, 0, 5.429543, 8.808136, 0, -1.66, 5.2, 0.2295432
13, 0000, 7, 0.4804427, -0.3134146, 0, 5.052146, 39, -0.3134146, 0, 5.252146, 18.03467, 0, -1.66, 5.69, -0.4378543
14, 0000, 1, 0.4679111, 0.05208364, 0, 2.24515, 41, 0.05208364, 0, 2.24515, 3.279968, 0, -1.66, 2.75, -0.5048499
15, 1101, 8, 0.268279, 0.3042606, 0, 4.41339, 25, 0.3042606, 0, 6.413388, 20.3334, 0, -1.66, 6.18, 0.2333884
16, 0112, 4, 0.3642319, -0.04515815, 0, 6.53775, 0, -0.04515815, 0, 3.937753, 26.69434, 0, -1.66, 4.22, -0.2822471
17, 0011, 7, 0.2005118, -0.3296152, 0, 3.698092, 0, -0.3296152, 0, 4.998091, 16.77115, 0, -1.66, 5.69, -0.6919093
