Scene Number, Scene Name, Target Number, Cube Size, CubeStartingPositionX, CubeStartingPositionY, CubeStartingPositionZ, RotationY, FinalCubePositionX, FinalCubePositionY, FinalCubePositionZ, Time Taken, PositionOfTargetX, PositionOfTargetY, PositionOfTargetZ, Error
18, 1102, 2, 0.3026013, -0.01977763, 0, 4.606084, 88, -0.01977763, 0, 2.906085, 10.77191, 0, -1.66, 3.24, -0.3339145
19, 1000, 5, 0.3333836, -0.08339658, 0, 1.794713, 66, -0.08339658, 0, 4.094711, 17.38593, 0, -1.66, 4.71, -0.6152887
20, 1012, 5, 0.1501619, -0.2337275, 0, 3.678162, 0, -0.2337275, 0, 4.378161, 34.95557, 0, -1.66, 4.71, -0.3318391
21, 1001, 4, 0.3749348, -0.02562538, 0, 6.715943, 23, -0.02562538, 0, 4.415945, 9.807068, 0, -1.66, 4.22, 0.1959453
22, 1112, 2, 0.2872035, -0.0645352, 0, 2.594761, 0, -0.0645352, 0, 2.694761, 14.35406, 0, -1.66, 3.24, -0.5452387
23, 1111, 6, 0.281601, 0.1022637, 0, 2.592305, 0, 0.1022637, 0, 4.492303, 14.25464, 0, -1.66, 5.2, -0.7076969
24, 1102, 6, 0.180334, -0.2563097, 0, 4.915685, 2, -0.2563097, 0, 5.515684, 7.247253, 0, -1.66, 5.2, 0.3156843
25, 1010, 5, 0.210934, -0.01498103, 0, 5.82248, 0, -0.01498103, 0, 5.02248, 10.85687, 0, -1.66, 4.71, 0.3124804
26, 0000, 6, 0.2013051, 0.08296457, 0, 4.270417, 79, 0.08296457, 0, 4.270417, 8.058472, 0, -1.66, 5.2, -0.9295826
27, 0102, 8, 0.2618925, -0.2561554, 0, 2.41942, 58, -0.2561554, 0, 5.819417, 23.24622, 0, -1.66, 6.18, -0.3605833
28, 0110, 5, 0.2765684, 0.1702954, 0, 7.357796, 0, 0.1702954, 0, 3.957799, 17.75238, 0, -1.66, 4.71, -0.7522011
29, 1011, 6, 0.4327222, -0.3285609, 0, 6.773252, 0, -0.3285609, 0, 5.573253, 11.20654, 0, -1.66, 5.2, 0.3732529
30, 0100, 2, 0.288285, -0.3645901, 0, 2.075089, 45, -0.3645901, 0, 2.675089, 19.83429, 0, -1.66, 3.24, -0.5649111
31, 0010, 4, 0.2860247, 0.2512832, 0, 4.039991, 0, 0.2512832, 0, 3.939991, 37.20129, 0, -1.66, 4.22, -0.2800083
32, 1102, 6, 0.3398945, -0.1948545, 0, 4.964502, 27, -0.1948545, 0, 5.464501, 35.67114, 0, -1.66, 5.2, 0.2645016
33, 0102, 7, 0.2446255, 0.1137033, 0, 6.087159, 76, 0.1137033, 0, 5.28716, 13.43793, 0, -1.66, 5.69, -0.4028401
34, 1002, 7, 0.2733362, 0.3042045, 0, 1.705827, 1, 0.3042045, 0, 5.105824, 14.9718, 0, -1.66, 5.69, -0.5841761
35, 0100, 1, 0.2526092, -0.373261, 0, 1.493567, 83, -0.373261, 0, 2.293566, 13.32166, 0, -1.66, 2.75, -0.4564335
36, 0001, 8, 0.3189543, -0.1082071, 0, 5.878517, 18, -0.1082071, 0, 6.278517, 5.596558, 0, -1.66, 6.18, 0.09851694
37, 1010, 2, 0.2951715, 0.03530297, 0, 5.056919, 0, 0.03530297, 0, 3.056921, 10.10645, 0, -1.66, 3.24, -0.183079
38, 0110, 4, 0.48085, -0.2697667, 0, 4.619681, 0, -0.2697667, 0, 4.019682, 7.078186, 0, -1.66, 4.22, -0.2003179
39, 1010, 6, 0.4942261, 0.2598935, 0, 6.064423, 0, 0.2598935, 0, 5.464423, 5.178528, 0, -1.66, 5.2, 0.2644234
40, 0011, 6, 0.4803748, 0.1481122, 0, 6.32056, 0, 0.1481122, 0, 5.42056, 6.694397, 0, -1.66, 5.2, 0.2205606
41, 0100, 5, 0.18808, 0.1976886, 0, 4.163089, 57, 0.1976886, 0, 3.963089, 11.78998, 0, -1.66, 4.71, -0.746911
42, 0111, 1, 0.3474298, 0.2585263, 0, 5.686562, 0, 0.2585263, 0, 2.386565, 14.83783, 0, -1.66, 2.75, -0.3634348
43, 0111, 3, 0.3543179, 0.03802913, 0, 2.052454, 0, 0.03802913, 0, 3.552453, 20.16644, 0, -1.66, 3.73, -0.1775475
44, 1100, 3, 0.4368119, 0.1467562, 0, 1.959518, 74, 0.1467562, 0, 3.359517, 7.143982, 0, -1.66, 3.73, -0.3704829
45, 1012, 6, 0.3838309, 0.2249439, 0, 2.54845, 0, 0.2249439, 0, 4.648448, 8.642517, 0, -1.66, 5.2, -0.5515513
46, 1110, 2, 0.4676566, 0.08920637, 0, 6.444698, 0, 0.08920637, 0, 3.544701, 16.63666, 0, -1.66, 3.24, 0.3047011
47, 0002, 8, 0.4089744, 0.2679799, 0, 7.49758, 69, 0.2679799, 0, 7.49758, 4.995667, 0, -1.66, 6.18, 1.31758
48, 1001, 8, 0.293335, 0.02742305, 0, 3.351884, 56, 0.02742305, 0, 6.451881, 11.73969, 0, -1.66, 6.18, 0.2718816
49, 0012, 8, 0.4150411, -0.2655102, 0, 2.67017, 0, -0.2655102, 0, 5.870167, 14.02209, 0, -1.66, 6.18, -0.309833
50, 1110, 5, 0.2303656, -0.1284297, 0, 1.607756, 0, -0.1284297, 0, 4.107754, 14.68689, 0, -1.66, 4.71, -0.6022463
51, 0001, 2, 0.3961598, -0.06172737, 0, 1.387876, 78, -0.06172737, 0, 2.687876, 21.73206, 0, -1.66, 3.24, -0.5521243
52, 0010, 1, 0.1586845, -0.3965842, 0, 5.0296, 0, -0.3965842, 0, 2.529603, 27.04565, 0, -1.66, 2.75, -0.2203975
53, 0010, 5, 0.2122372, 0.3060949, 0, 5.825917, 0, 0.3060949, 0, 4.325918, 15.78467, 0, -1.66, 4.71, -0.3840818
54, 1000, 1, 0.4995757, -0.09831816, 0, 4.995906, 74, -0.09831816, 0, 2.895908, 15.28796, 0, -1.66, 2.75, 0.1459079
55, 1011, 1, 0.4662346, -0.3833953, 0, 3.315835, 0, -0.3833953, 0, 2.915836, 4.695923, 0, -1.66, 2.75, 0.1658356
56, 1002, 1, 0.3147187, -0.01290661, 0, 3.501398, 53, -0.01290661, 0, 2.901398, 10.47437, 0, -1.66, 2.75, 0.1513984
57, 0112, 8, 0.236748, 0.2592752, 0, 4.676667, 0, 0.2592752, 0, 5.576666, 18.35132, 0, -1.66, 6.18, -0.603334
58, 1112, 4, 0.3931981, -0.3184238, 0, 4.694907, 0, -0.3184238, 0, 4.494907, 10.27612, 0, -1.66, 4.22, 0.2749076
59, 1112, 6, 0.3920851, -0.02523914, 0, 4.421235, 0, -0.02523914, 0, 5.521234, 8.907471, 0, -1.66, 5.2, 0.3212342
60, 1110, 2, 0.3900921, -0.2076059, 0, 2.998637, 0, -0.2076059, 0, 3.498636, 15.50464, 0, -1.66, 3.24, 0.2586362
61, 0011, 4, 0.4304093, 0.1079546, 0, 4.174517, 0, 0.1079546, 0, 4.174517, 19.23315, 0, -1.66, 4.22, -0.04548311
62, 1100, 8, 0.3920749, 0.3914174, 0, 2.245828, 49, 0.3914174, 0, 5.445825, 17.56958, 0, -1.66, 6.18, -0.7341747
63, 1102, 2, 0.3886871, 0.003233016, 0, 4.636439, 60, 0.003233016, 0, 3.43644, 17.33472, 0, -1.66, 3.24, 0.19644
64, 1111, 2, 0.1570319, 0.2871194, 0, 4.631728, 0, 0.2871194, 0, 3.431729, 15.60413, 0, -1.66, 3.24, 0.1917293
65, 1111, 8, 0.4564612, -0.1333869, 0, 6.60542, 0, -0.1333869, 0, 6.60542, 3.779907, 0, -1.66, 6.18, 0.4254198
66, 1001, 4, 0.163393, 0.06336561, 0, 4.488516, 26, 0.06336561, 0, 4.488516, 3.730591, 0, -1.66, 4.22, 0.2685161
67, 0012, 3, 0.3094772, -0.2830522, 0, 7.317689, 0, -0.2830522, 0, 4.017693, 11.98926, 0, -1.66, 3.73, 0.2876925
68, 0102, 4, 0.2562225, 0.3262008, 0, 6.780624, 11, 0.3262008, 0, 3.880627, 24.24622, 0, -1.66, 4.22, -0.3393726
69, 0012, 5, 0.3829151, -0.03650203, 0, 2.957721, 0, -0.03650203, 0, 4.55772, 15.02063, 0, -1.66, 4.71, -0.1522803
70, 1111, 3, 0.458039, 0.190016, 0, 4.093417, 0, 0.190016, 0, 3.893417, 10.50842, 0, -1.66, 3.73, 0.1634173
71, 0110, 2, 0.1588691, -0.388941, 0, 4.576938, 0, -0.388941, 0, 3.176939, 17.63452, 0, -1.66, 3.24, -0.06306052
72, 1112, 7, 0.3787097, 0.1258562, 0, 3.776231, 0, 0.1258562, 0, 5.276229, 17.80261, 0, -1.66, 5.69, -0.4137707
73, 0011, 3, 0.4904703, 0.009092003, 0, 4.511286, 0, 0.009092003, 0, 3.511287, 8.3927, 0, -1.66, 3.73, -0.2187128
74, 0102, 2, 0.4308968, -0.2499676, 0, 6.568926, 55, -0.2499676, 0, 2.96893, 22.41431, 0, -1.66, 3.24, -0.2710702
75, 1001, 8, 0.1669784, 0.006220192, 0, 7.306584, 63, 0.006220192, 0, 6.506585, 5.911377, 0, -1.66, 6.18, 0.3265848
76, 0010, 7, 0.1812056, 0.3841724, 0, 3.186569, 0, 0.3841724, 0, 5.186567, 23.16528, 0, -1.66, 5.69, -0.5034328
77, 0002, 3, 0.3383127, 0.008842796, 0, 5.098472, 25, 0.008842796, 0, 3.498473, 12.92175, 0, -1.66, 3.73, -0.2315269
78, 1101, 6, 0.3015704, -0.1824473, 0, 5.793678, 56, -0.1824473, 0, 4.893679, 6.743896, 0, -1.66, 5.2, -0.3063207
79, 0101, 3, 0.2627442, -0.3960194, 0, 4.752255, 15, -0.3960194, 0, 3.352257, 11.2572, 0, -1.66, 3.73, -0.3777432
80, 0001, 1, 0.3786518, -0.2903338, 0, 1.752142, 42, -0.2903338, 0, 2.352142, 16.40295, 0, -1.66, 2.75, -0.3978584
81, 1100, 6, 0.218158, -0.3069846, 0, 6.53392, 18, -0.3069846, 0, 5.533921, 12.02417, 0, -1.66, 5.2, 0.3339214
82, 0101, 2, 0.4638453, 0.02394062, 0, 3.614898, 1, 0.02394062, 0, 2.814899, 7.559692, 0, -1.66, 3.24, -0.4251013
83, 0112, 5, 0.4199863, 0.1042621, 0, 2.386627, 0, 0.1042621, 0, 4.286625, 19.01709, 0, -1.66, 4.71, -0.4233747
84, 1000, 5, 0.1851538, 0.02847648, 0, 5.516538, 73, 0.02847648, 0, 5.016539, 11.10754, 0, -1.66, 4.71, 0.3065386
85, 1101, 4, 0.3746011, -0.2372058, 0, 3.062328, 55, -0.2372058, 0, 3.762327, 22.01465, 0, -1.66, 4.22, -0.4576724
86, 0100, 7, 0.2804468, 0.2948305, 0, 3.811028, 0, 0.2948305, 0, 5.011027, 15.55457, 0, -1.66, 5.69, -0.6789727
87, 1101, 3, 0.3902835, -0.01211515, 0, 3.550693, 87, -0.01211515, 0, 3.950692, 8.025635, 0, -1.66, 3.73, 0.2206922
88, 0000, 4, 0.281208, -0.2726317, 0, 6.273432, 13, -0.2726317, 0, 3.873435, 29.09241, 0, -1.66, 4.22, -0.3465652
89, 1011, 2, 0.1796002, -0.1409167, 0, 7.102444, 0, -0.1409167, 0, 3.402447, 44.49707, 0, -1.66, 3.24, 0.1624472
90, 0111, 5, 0.3161712, -0.1198011, 0, 2.902032, 0, -0.1198011, 0, 4.302031, 13.12122, 0, -1.66, 4.71, -0.4079695
91, 1002, 5, 0.1646619, -0.383877, 0, 4.866844, 70, -0.383877, 0, 4.966844, 4.529663, 0, -1.66, 4.71, 0.2568436
92, 0002, 7, 0.2672939, -0.3870211, 0, 6.736545, 27, -0.3870211, 0, 5.536546, 25.99487, 0, -1.66, 5.69, -0.1534538
93, 1012, 3, 0.468023, 0.05205759, 0, 1.784898, 0, 0.05205759, 0, 3.384897, 20.36646, 0, -1.66, 3.73, -0.3451035
94, 0112, 2, 0.4911722, -0.2553618, 0, 5.568475, 0, -0.2553618, 0, 2.868478, 20.63257, 0, -1.66, 3.24, -0.3715222
95, 1000, 1, 0.289137, 0.2102997, 0, 6.359527, 76, 0.2102997, 0, 2.95953, 13.30603, 0, -1.66, 2.75, 0.2095304
